 10:09:27.352  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBoAbstract - ID_EXT: 1452244167103, User: cen85552 ... boAbstractModify end [100].
 10:09:28.743  INFO | com.emc.xcp.rest.core.process.controller.ProcessController - startProcess: User: ji017656, Process: cs_cs_sp_is_box_in_pro
 10:09:28.747  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244168747, User: ji017656
 10:09:28.748  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244168747, User: ji017656 ... boxInProperStateSBO start.
 10:09:28.751  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Adding dynamic group cs_superusers_dynamic into session for User: ji017656.
 10:09:29.075  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - ID_EXT: 1452244168747, User: ji017656 ... lockObject start.
 10:09:29.075  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - lockObject: input: ObjectLockerInput [boAbsObjectId=0802939682bd30d8, joinName=, waitIntervalSec=0, boAbsObjectIds=[]]
 10:09:29.078  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - ID_EXT: 1452244168747, User: ji017656 ... lockObject end [100].
 10:09:29.079  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244168747, User: ji017656 ... boxSetTypeSBO start.
 10:09:29.092  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244168747, User: ji017656 ... boxSetTypeSBO end [100].
 10:09:29.092  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244168747, User: ji017656 ... boxSetStateSBO start.
 10:09:29.096  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - ID_EXT: 1452244168747, User: ji017656 ... lockObject start.
 10:09:29.096  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - lockObject: input: ObjectLockerInput [boAbsObjectId=0802939682bd30d8, joinName=cs_record__box, waitIntervalSec=0, boAbsObjectIds=[]]
 10:09:29.105  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - ID_EXT: 1452244168747, User: ji017656 ... lockObject end [100].
 10:09:29.169  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244169169, User: ji017656
 10:09:29.169  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244169169, User: ji017656 ... boxChangeStateSBO start.
 10:09:29.169  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboBoxUtils - ID_EXT: 1452244169169, User: ji017656 ... getBoxRObjectIdByBoxId start.
 10:09:29.171  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboBoxUtils - ID_EXT: 1452244169169, User: ji017656 ... getBoxRObjectIdByBoxId end [100].
